movie_encoded,movieId,title_netflix,tahun_rilis_netflix
48708,292621,Dinosaur Planet,2003.0
48709,292622,Isle of Man TT 2004 Review,2004.0
48710,292623,Character,1997.0
48711,292624,Paula Abdul's Get Up & Dance,1994.0
48712,292625,The Rise and Fall of ECW,2004.0
48713,292626,Sick,1997.0
48714,292627,8 Man,1992.0
48715,292628,What the #$*! Do We Know!?,2004.0
48716,292629,Class of Nuke 'Em High 2,1991.0
48717,292630,Fighter,2001.0
48718,292631,Full Frame: Documentary Shorts,1999.0
48719,292632,My Favorite Brunette,1947.0
48720,292633,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,2003.0
48721,292634,Nature: Antarctica,1982.0
48722,292635,Neil Diamond: Greatest Hits Live,1988.0
48723,292636,Screamers,1996.0
48724,292637,7 Seconds,2005.0
48725,292638,Immortal Beloved,1994.0
48726,292639,By Dawn's Early Light,2000.0
48727,292640,Seeta Aur Geeta,1972.0
48728,292641,Strange Relations,2002.0
48729,292642,Chump Change,2000.0
48730,292643,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,2001.0
48731,292644,My Bloody Valentine,1981.0
48732,292645,Inspector Morse 31: Death Is Now My Neighbour,1997.0
48733,292646,Never Die Alone,2004.0
48734,292647,Sesame Street: Elmo's World: The Street We Live On,1962.0
48735,292648,Lilo and Stitch,2002.0
48736,292649,Boycott,2001.0
48737,292650,Something's Gotta Give,2003.0
48738,292651,Classic Albums: Meat Loaf: Bat Out of Hell,1999.0
48739,292652,ABC Primetime: Mel Gibson's The Passion of the Christ,2004.0
48740,292653,Aqua Teen Hunger Force: Vol. 1,2000.0
48741,292654,Ashtanga Yoga: Beginner's Practice with Nicki Doane,2003.0
48742,292655,Ferngully 2: The Magical Rescue,2000.0
48743,292656,Lady Chatterley,1992.0
48744,292657,Zatoichi's Conspiracy,1973.0
48745,292658,Daydream Obsession,2003.0
48746,292659,Love Reinvented,2000.0
48747,292660,Pitcher and the Pin-Up,2004.0
48748,292661,Horror Vision,2000.0
48749,292662,Searching for Paradise,2002.0
48750,292663,Silent Service,2000.0
