movie_encoded,avg_rating,total_rating,weighted_avg,skor,rank,movieId,title,genres,tahun_rilis
6816,4.169014084507042,71,4.090464236119927,10.0,1,33779,Eddie Izzard: Dress to Kill (1999),Comedy,1999.0
3531,4.124183006535947,153,4.088910704653335,9.9962,2,116897,Wild Tales (2014),Comedy|Drama|Thriller,2014.0
3154,4.118898623279099,799,4.075700854521189,9.9639,3,112552,Whiplash (2014),Drama,2014.0
48720,4.714285714285714,63,4.044819124435926,9.8884,4,292633,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,Netflix Collection,2003.0
3560,4.1178977272727275,1056,4.04076341226765,9.8785,5,92259,Intouchables (2011),Comedy|Drama,2011.0
10400,4.111111111111111,54,4.036911135628243,9.8691,6,95311,Presto (2008),Animation|Children|Comedy|Fantasy,2008.0
1141,4.057014925373134,1675,4.013825416538336,9.8126,7,109487,Interstellar (2014),Sci-Fi|IMAX,2014.0
1374,4.013513513513513,222,3.9996873132157367,9.7781,8,142488,Spotlight (2015),Thriller,2015.0
1371,4.018602029312289,887,3.997669344964025,9.7731,9,134130,The Martian (2015),Adventure|Drama|Sci-Fi,2015.0
370,4.127318494965554,3774,3.9910618998945653,9.757,10,79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,2010.0
