movie_encoded,avg_rating,total_rating,weighted_avg,skor,rank,movie_id,movie_title,genre,year,title
6,4.00709219858156,141,3.4458584107025927,10.0,1,M036,Miracle in Cell No. 7,Drama,2022,Miracle in Cell No. 7
80,3.9482758620689653,145,3.4147871876644142,9.9098,2,M007,Laskar Pelangi,Drama,2008,Laskar Pelangi
69,3.914383561643836,146,3.390929883754282,9.8406,3,M008,Habibie & Ainun,Romance|Drama,2012,Habibie & Ainun
81,3.8407407407407406,135,3.344609984563417,9.7062,4,M037,Mencuri Raden Saleh,Action|Thriller,2022,Mencuri Raden Saleh
40,3.921232876712329,146,3.3424166734227994,9.6998,5,M052,The Raid 2,Action|Thriller,2014,The Raid 2
41,3.872262773722628,137,3.334951068434233,9.6781,6,M041,Jumbo,Animation,2025,Jumbo
31,3.7972972972972974,148,3.304247779101052,9.589,7,M074,Dua Garis Biru,Drama,2019,Dua Garis Biru
48,3.817241379310345,145,3.287446650909556,9.5403,8,M083,Sang Kiai,Drama|Biography,2013,Sang Kiai
57,3.806451612903226,155,3.274572671624927,9.5029,9,M042,Petualangan Sherina,Adventure|Musical,2000,Petualangan Sherina
66,3.8115942028985508,138,3.2680385516490373,9.484,10,M035,Agak Laen,Comedy|Horror,2024,Agak Laen
